"";"Rubrica";"Data";"Valor"
"1";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-01-01;-977,706984810004
"2";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-02-01;647,958422209997
"3";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-03-01;1624,90472783
"4";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-04-01;1524,09848581
"5";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-05-01;190,695422460003
"6";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-06-01;102,562382652901
"7";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-07-01;-107,941711413117
"8";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-08-01;1587,27445010214
"9";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-09-01;-696,499303526796
"10";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-10-01;-769,309462051669
"11";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-11-01;276,339064816124
"12";"VI. PRIMÁRIO GOVERNO CENTRAL";1997-12-01;-1601,62323027617
"13";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-01-01;550,730544720003
"14";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-02-01;279,02226252
"15";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-03-01;2343,79004993
"16";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-04-01;1787,72526838
"17";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-05-01;-57,8960413599962
"18";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-06-01;-1841,99006691
"19";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-07-01;-26,3077765870021
"20";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-08-01;5747,90965161099
"21";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-09-01;-737,753907308996
"22";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-10-01;-1467,473966044
"23";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-11-01;-1158,63360679189
"24";"VI. PRIMÁRIO GOVERNO CENTRAL";1998-12-01;2157,89524375173
"25";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-01-01;759,830524996396
"26";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-02-01;1570,7523050936
"27";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-03-01;4507,08141878857
"28";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-04-01;2509,82143724783
"29";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-05-01;-650,776586910764
"30";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-06-01;3812,8818080624
"31";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-07-01;2157,34058214445
"32";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-08-01;2643,41420401813
"33";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-09-01;3518,04426866575
"34";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-10-01;505,869588409336
"35";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-11-01;785,399243579421
"36";"VI. PRIMÁRIO GOVERNO CENTRAL";1999-12-01;-1955,36575472789
"37";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-01-01;1480,66177900773
"38";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-02-01;1476,3165261393
"39";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-03-01;4014,02718266441
"40";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-04-01;3937,30723457198
"41";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-05-01;2881,95998201169
"42";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-06-01;1641,23667799521
"43";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-07-01;355,866631187338
"44";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-08-01;3271,89211629665
"45";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-09-01;1593,12412291622
"46";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-10-01;1025,15527029293
"47";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-11-01;1290,78160006411
"48";"VI. PRIMÁRIO GOVERNO CENTRAL";2000-12-01;-1986,12501452836
"49";"VI. PRIMÁRIO GOVERNO CENTRAL";2001-01-01;2556,37155074551
